zid x y z sxx syy szz sxy sxz syz
10566 2631 4791.5 200.743 -5.39948e+06 -4.51325e+06 -3.40912e+06 -428193 -11084.2 -10702.9
10567 2633 4791.5 200.743 -5.40014e+06 -4.52153e+06 -3.41702e+06 -428332 -13841.2 -12426.7
10568 2635 4791.5 200.743 -5.401e+06 -4.52931e+06 -3.42475e+06 -427487 -16172.3 -14516.5
10569 2637 4791.5 200.743 -5.40072e+06 -4.53779e+06 -3.4318e+06 -425220 -18461.2 -16882.2
10570 2639 4791.5 200.743 -5.39675e+06 -4.54397e+06 -3.43531e+06 -421535 -21388.3 -19155.8
10571 2641 4791.5 200.743 -5.39216e+06 -4.55035e+06 -3.43904e+06 -416988 -24789.5 -21090.5
10572 2643 4791.5 200.743 -5.38771e+06 -4.5558e+06 -3.44341e+06 -412923 -27904.5 -22840.2
10573 2645 4791.5 200.743 -5.3845e+06 -4.56018e+06 -3.44808e+06 -408673 -29972.7 -24772.5
10574 2647 4791.5 200.743 -5.38145e+06 -4.56433e+06 -3.45178e+06 -402894 -31265 -27179.6
10575 2649 4791.5 200.743 -5.37754e+06 -4.56838e+06 -3.45412e+06 -396602 -33544.1 -29811.8
10576 2651 4791.5 200.743 -5.37286e+06 -4.57346e+06 -3.45757e+06 -391153 -37181.2 -32062
10577 2653 4791.5 200.743 -5.37264e+06 -4.58618e+06 -3.46944e+06 -387936 -41492.1 -33510
10578 2655 4791.5 200.743 -5.37336e+06 -4.59974e+06 -3.48512e+06 -386144 -44191.8 -34637.3
10579 2657 4791.5 200.743 -5.37563e+06 -4.61065e+06 -3.4995e+06 -382177 -45050.3 -36892.3
10780 2559 4792.5 200.743 -5.52004e+06 -4.70364e+06 -3.63388e+06 -156689 8685.8 25523.6
10781 2561 4792.5 200.743 -5.51482e+06 -4.68855e+06 -3.62098e+06 -169588 8809.39 25155.4
10782 2563 4792.5 200.743 -5.50825e+06 -4.67181e+06 -3.60596e+06 -183056 8923.86 24862.1
10783 2565 4792.5 200.743 -5.50051e+06 -4.65584e+06 -3.59096e+06 -197620 9071.87 24647.4
10784 2567 4792.5 200.743 -5.49392e+06 -4.6386e+06 -3.57601e+06 -212884 9266.25 24499
10785 2569 4792.5 200.743 -5.49063e+06 -4.62226e+06 -3.56259e+06 -227978 9516.36 24416.9
10786 2571 4792.5 200.743 -5.4831e+06 -4.59535e+06 -3.53976e+06 -241624 9813.48 24409.8
10787 2573 4792.5 200.743 -5.47635e+06 -4.56712e+06 -3.51535e+06 -254306 10165.8 24454
10788 2575 4792.5 200.743 -5.4687e+06 -4.53933e+06 -3.49123e+06 -266215 10573 24545.3
10789 2577 4792.5 200.743 -5.46251e+06 -4.51709e+06 -3.47187e+06 -276472 11098.3 24685
10790 2579 4792.5 200.743 -5.45771e+06 -4.49954e+06 -3.45683e+06 -284988 11784.1 24843
10791 2581 4792.5 200.743 -5.45346e+06 -4.48267e+06 -3.4424e+06 -292662 12653.8 24980
10792 2583 4792.5 200.743 -5.44958e+06 -4.46578e+06 -3.42763e+06 -300241 13654.7 25043.9
10793 2585 4792.5 200.743 -5.4454e+06 -4.44919e+06 -3.41234e+06 -307138 14664.4 25006.4
10794 2587 4792.5 200.743 -5.44018e+06 -4.43324e+06 -3.39648e+06 -313409 15578.4 24842.5
10795 2589 4792.5 200.743 -5.43405e+06 -4.41855e+06 -3.38067e+06 -320139 16286.6 24519.9
10796 2591 4792.5 200.743 -5.42809e+06 -4.4135e+06 -3.37178e+06 -328606 16670.2 23980.1
10797 2593 4792.5 200.743 -5.42315e+06 -4.4149e+06 -3.36788e+06 -338059 16665.4 23139.6
10798 2595 4792.5 200.743 -5.41877e+06 -4.41582e+06 -3.36398e+06 -347309 16243 21936.1
10799 2597 4792.5 200.743 -5.41471e+06 -4.41628e+06 -3.36022e+06 -356145 15475.8 20361.5
10800 2599 4792.5 200.743 -5.41056e+06 -4.41651e+06 -3.35661e+06 -364650 14568 18497.5
10801 2601 4792.5 200.743 -5.40605e+06 -4.41649e+06 -3.35301e+06 -372815 13797.2 16480.9
10802 2603 4792.5 200.743 -5.40189e+06 -4.41588e+06 -3.34935e+06 -380708 13255 14448.5
10803 2605 4792.5 200.743 -5.39912e+06 -4.41518e+06 -3.34621e+06 -388674 12799 12486.9
10804 2607 4792.5 200.743 -5.39694e+06 -4.41323e+06 -3.34239e+06 -396555 12217 10662.9
10805 2609 4792.5 200.743 -5.39609e+06 -4.41132e+06 -3.33942e+06 -403941 11350.1 9014.81
10806 2611 4792.5 200.743 -5.39821e+06 -4.41636e+06 -3.34317e+06 -410911 10235.3 7511.51
10807 2613 4792.5 200.743 -5.40058e+06 -4.42755e+06 -3.35174e+06 -416170 9003.43 6021.46
10808 2615 4792.5 200.743 -5.4015e+06 -4.4376e+06 -3.35853e+06 -419261 7644.24 4381.51
10809 2617 4792.5 200.743 -5.40223e+06 -4.44764e+06 -3.36503e+06 -421462 6034.86 2535.31
10810 2619 4792.5 200.743 -5.40261e+06 -4.45776e+06 -3.37134e+06 -422519 4062.42 540.464
10811 2621 4792.5 200.743 -5.40105e+06 -4.46668e+06 -3.37693e+06 -423377 1788.54 -1511.83
10812 2623 4792.5 200.743 -5.40288e+06 -4.47875e+06 -3.38591e+06 -424887 -676.127 -3585.62
10813 2625 4792.5 200.743 -5.40078e+06 -4.48728e+06 -3.39155e+06 -425914 -3273.64 -5675.25
10814 2627 4792.5 200.743 -5.39959e+06 -4.49637e+06 -3.39769e+06 -426466 -5951.78 -7741.08
10815 2629 4792.5 200.743 -5.39861e+06 -4.50441e+06 -3.40371e+06 -426976 -8755.96 -9681.99
10816 2631 4792.5 200.743 -5.39782e+06 -4.51229e+06 -3.41012e+06 -427090 -11673.9 -11454
10817 2633 4792.5 200.743 -5.39755e+06 -4.52079e+06 -3.41751e+06 -426710 -14434.4 -13180.4
10818 2635 4792.5 200.743 -5.39733e+06 -4.52922e+06 -3.42496e+06 -425831 -16820.3 -15074.3
10819 2637 4792.5 200.743 -5.39663e+06 -4.53692e+06 -3.43169e+06 -424256 -19118.7 -17252.5
10820 2639 4792.5 200.743 -5.39582e+06 -4.54516e+06 -3.43819e+06 -421566 -21873.1 -19544.7
10821 2641 4792.5 200.743 -5.39107e+06 -4.55049e+06 -3.4414e+06 -417140 -25114.6 -21610
10822 2643 4792.5 200.743 -5.38662e+06 -4.5565e+06 -3.44554e+06 -412322 -28186 -23339.3
10823 2645 4792.5 200.743 -5.3826e+06 -4.56144e+06 -3.44969e+06 -407663 -30365.6 -25093.6
10824 2647 4792.5 200.743 -5.3789e+06 -4.56574e+06 -3.45308e+06 -402207 -32014.1 -27334.7
10825 2649 4792.5 200.743 -5.37521e+06 -4.5694e+06 -3.45556e+06 -396074 -34392.1 -29977.3
