Mileage,X_local,Y_local,Z_crown
1970.0,2329.6059716475334,4690.430703587225,222.725
1971.0,2328.664162358533,4690.094555906656,222.724
1972.0,2327.7223530695214,4689.758408226117,222.723
1973.0,2326.7805437804964,4689.422260545615,222.722
1974.0,2325.8387344914713,4689.086112865114,222.721
1975.0,2324.8969252024467,4688.749965184613,222.72
1976.0,2323.9551159134217,4688.413817504112,222.719
1977.0,2323.013306624397,4688.07766982361,222.718
1978.0,2322.071497335413,4687.741522142994,222.717
1979.0,2321.1296880468763,4687.405374461126,222.716
1980.0,2320.187878758339,4687.069226779257,222.715
1981.0,2319.2460694698025,4686.733079097388,222.714
1982.0,2318.3042601812654,4686.39693141552,222.713
1983.0,2317.3624508927282,4686.060783733652,222.712
1984.0,2316.4206416041916,4685.724636051783,222.711
1985.0,2315.478832315317,4685.388488370861,222.71
1986.0,2314.537023026315,4685.052340690294,222.709
1987.0,2313.5952137373138,4684.716193009728,222.708
1988.0,2312.653404448312,4684.3800453291615,222.707
1989.0,2311.7115951593105,4684.043897648595,222.706
1990.0,2310.7697858703086,4683.707749968029,222.705
1991.0,2309.8279765812918,4683.371602287505,222.704
1992.0,2308.8861672922494,4683.035454607053,222.703
1993.0,2307.944358003207,4682.699306926601,222.702
1994.0,2307.0025487141643,4682.363159246149,222.701
1995.0,2306.060739425122,4682.027011565697,222.7
1996.0,2305.118930136079,4681.690863885245,222.699
1997.0,2304.1771208470423,4681.354716204777,222.698
1998.0,2303.2353115585274,4681.018568522847,222.697
1999.0,2302.2935022700126,4680.682420840916,222.696
2000.0,2301.3516929814978,4680.346273158985,222.695
2001.0,2300.409883692983,4680.010125477055,222.694
2002.0,2299.4680744044686,4679.673977795124,222.693
2003.0,2298.5262651159537,4679.337830113194,222.692
2004.0,2297.584455827107,4679.001682432194,222.691
2005.0,2296.6426465380828,4678.66553475169,222.69
2006.0,2295.700837249059,4678.329387071185,222.689
2007.0,2294.759027960035,4677.993239390681,222.688
2008.0,2293.8172186710112,4677.657091710177,222.687
2009.0,2292.8754093819875,4677.320944029672,222.686
2010.0,2291.933600092963,4676.984796349169,222.685
2011.0,2290.9917908039383,4676.648648668668,222.684
2012.0,2290.0499815149133,4676.312500988167,222.683
2013.0,2289.1081722258887,4675.976353307666,222.682
2014.0,2288.1663629368636,4675.640205627164,222.681
2015.0,2287.2245536478385,4675.304057946662,222.68
2016.0,2286.282744358814,4674.967910266161,222.679
2017.0,2285.34093506979,4674.631762585657,222.678
2018.0,2284.399125780766,4674.295614905153,222.677
2019.0,2283.457316491742,4673.9594672246485,222.676
2020.0,2282.5155072027183,4673.623319544145,222.675
2021.0,2281.5736979136946,4673.287171863641,222.674
2022.0,2280.6318886246704,4672.951024183136,222.673
2023.0,2279.690079335941,4672.614876501807,222.672
2024.0,2278.748270047426,4672.278728819876,222.671
2025.0,2277.8064607589117,4671.942581137946,222.67
2026.0,2276.864651470397,4671.606433456015,222.669
2027.0,2275.922842181882,4671.270285774085,222.668
2028.0,2274.9810328933672,4670.934138092154,222.667
2029.0,2274.03922360474,4670.597990410539,222.666
2030.0,2273.097414315715,4670.261842730038,222.665
2031.0,2272.1556050266904,4669.925695049536,222.664
2032.0,2271.2137957376654,4669.589547369035,222.663
2033.0,2270.2719864486403,4669.253399688533,222.662
2034.0,2269.3301771596157,4668.917252008032,222.661
2035.0,2268.3883678705906,4668.581104327531,222.66
2036.0,2267.4465585815506,4668.244956647072,222.659
2037.0,2266.504749292508,4667.90880896662,222.65800000000002
2038.0,2265.5629400034654,4667.572661286168,222.657
2039.0,2264.621130714423,4667.236513605716,222.656
2040.0,2263.6793214253807,4666.900365925264,222.655
2041.0,2262.737512136338,4666.564218244812,222.654
2042.0,2261.7957028475626,4666.228070563612,222.653
2043.0,2260.8538935590486,4665.8919228816785,222.65200000000002
2044.0,2259.9120842705347,4665.555775199746,222.651
2045.0,2258.9702749820212,4665.219627517812,222.65
2046.0,2258.0284656935073,4664.8834798358785,222.649
2047.0,2257.086656404994,4664.547332153945,222.648
2048.0,2256.144847116405,4664.211184472221,222.647
2049.0,2255.2030378273803,4663.87503679172,222.64600000000002
2050.0,2254.261228538355,4663.538889111219,222.645
2051.0,2253.31941924933,4663.202741430718,222.644
2052.0,2252.3776099603056,4662.866593750216,222.643
2053.0,2251.4358006712805,4662.530446069715,222.642
2054.0,2250.493991382256,4662.194298389214,222.641
2055.0,2249.5521820932317,4661.85815070871,222.64000000000001
2056.0,2248.6103728042076,4661.522003028206,222.639
2057.0,2247.668563515184,4661.185855347701,222.638
2058.0,2246.7267542261598,4660.849707667197,222.637
2059.0,2245.784944937136,4660.5135599866935,222.636
2060.0,2244.8431356481124,4660.177412306189,222.635
2061.0,2243.9013263590978,4659.841264625658,222.63400000000001
2062.0,2242.9595170700964,4659.505116945092,222.633
2063.0,2242.0177077810945,4659.168969264525,222.632
2064.0,2241.0758984920926,4658.832821583959,222.631
2065.0,2240.134089203091,4658.496673903393,222.63
2066.0,2239.1922799140893,4658.160526222827,222.629
2067.0,2238.250470625121,4657.8243785421655,222.62800000000001
2068.0,2237.3086613365836,4657.4882308603,222.627
2069.0,2236.3668520480455,4657.152083178435,222.626
2070.0,2235.4250427595075,4656.815935496569,222.625
2071.0,2234.4832334709695,4656.479787814704,222.624
2072.0,2233.5414241824315,4656.143640132838,222.623
2073.0,2232.5996148938934,4655.807492450972,222.622
2074.0,2231.657805605025,4655.471344770033,222.621
2075.0,2230.715996316024,4655.135197089464,222.62
2076.0,2229.7741870270233,4654.7990494088945,222.619
2077.0,2228.8323777380224,4654.462901728326,222.618
2078.0,2227.890568449022,4654.126754047757,222.617
2079.0,2226.948759160021,4653.790606367187,222.616
2080.0,2226.0069498710054,4653.45445868666,222.615
2081.0,2225.065140581963,4653.1183110062075,222.614
2082.0,2224.1233312929207,4652.782163325755,222.613
2083.0,2223.181522003878,4652.446015645304,222.612
2084.0,2222.2397127148356,4652.109867964852,222.611
2085.0,2221.2979034257933,4651.7737202844,222.61
2086.0,2220.3560941367505,4651.437572603948,222.609
2087.0,2219.414284848212,4651.101424922083,222.608
2088.0,2218.472475559674,4650.765277240218,222.607
2089.0,2217.530666271136,4650.4291295583525,222.606
2090.0,2216.588856982598,4650.092981876487,222.605
2091.0,2215.64704769406,4649.756834194622,222.604
2092.0,2214.705238405522,4649.420686512755,222.603
2093.0,2213.763429116687,4649.084538831723,222.602
2094.0,2212.821619827685,4648.748391151156,222.601
2095.0,2211.8798105386836,4648.4122434705905,222.6
2096.0,2210.9380012496817,4648.076095790024,222.59900000000002
