box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z
sub_2608,2608.0,xmin,2558.0,2558.0,145610,2558.0,4797.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,147367,2558.0,4797.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,149124,2558.0,4797.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,150881,2558.0,4797.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,152638,2558.0,4797.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,154395,2558.0,4797.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,156152,2558.0,4797.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,157909,2558.0,4797.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,159666,2558.0,4797.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,253791,2558.0,4797.0,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,255548,2558.0,4797.0,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,257305,2558.0,4797.0,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,259062,2558.0,4797.0,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,260819,2558.0,4797.0,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,262576,2558.0,4797.0,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,316541,2558.0,4797.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,23122,2558.0,4797.5,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,26134,2558.0,4797.5,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,70812,2558.0,4797.5,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,73824,2558.0,4797.5,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,76836,2558.0,4797.5,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,79848,2558.0,4797.5,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,82860,2558.0,4797.5,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,85872,2558.0,4797.5,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,159917,2558.0,4797.5,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,162929,2558.0,4797.5,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,165941,2558.0,4797.5,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,168953,2558.0,4797.5,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,171965,2558.0,4797.5,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,174977,2558.0,4797.5,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,177989,2558.0,4797.5,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,181001,2558.0,4797.5,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,184013,2558.0,4797.5,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,187025,2558.0,4797.5,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,190037,2558.0,4797.5,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,262827,2558.0,4797.5,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,265839,2558.0,4797.5,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,268851,2558.0,4797.5,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,271863,2558.0,4797.5,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,274875,2558.0,4797.5,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,277887,2558.0,4797.5,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,322063,2558.0,4797.5,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,23373,2558.0,4798.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,26385,2558.0,4798.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,71063,2558.0,4798.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,74075,2558.0,4798.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,77087,2558.0,4798.0,209.75
