Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used,density_kg_m3,young_GPa,poisson,cohesion_MPa,friction_deg,vertical_stress_Pa,horizontal_stress_Pa,failure_criterion,plastic_zone_thickness_m,plastic_zone_ratio_to_radius,plastic_radius_m,plastic_theta_deg,max_failure_F_Pa,max_sigma_1_Pa,max_sigma_3_Pa,stability_index,yield_state
32.0,32.000190632890494,4209.598116345463,5155.1731494185815,216.44545161290324,228.77975463867188,12.334303025768634,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,307096.7631889218,368516.1158267061,Mohr-Coulomb,0.9187129134816183,0.3062376378272061,3.9187129134816185,0.0,247011.75263335276,798451.5842911967,0.0,1.3987905660037236,plastic_estimate
33.0,33.00019658968881,4208.623783491146,5154.948037248763,216.44890322580645,229.1637725830078,12.714869357201366,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,316572.01998434105,379886.4239812092,Mohr-Coulomb,0.9506201869837378,0.31687339566124595,3.9506201869837376,0.0,260081.67490103072,823087.2519592867,0.0,1.4728035786297529,plastic_estimate
34.0,34.00020254648713,4207.64945063683,5154.722925078945,216.45235483870968,229.5478057861328,13.095450947423132,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,326047.65668973274,391257.1880276793,Mohr-Coulomb,0.9815876163321988,0.3271958721107329,3.981587616332199,0.0,273152.12120662304,847723.9073933052,0.0,1.5468195588040181,plastic_estimate
35.0,35.00020850328545,4206.675117782511,5154.497812909139,216.4558064516129,229.9318389892578,13.476032537644926,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,335523.29339512513,402627.95207415015,Mohr-Coulomb,1.0116678336866178,0.3372226112288726,4.011667833686618,0.0,286222.5675122163,872360.5628273254,0.0,1.6208355389782887,plastic_estimate
36.0,36.00021446008301,4205.700784928183,5154.272700739375,216.4592580645161,230.3158721923828,13.856614127866692,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,344998.9301005168,413998.7161206202,Mohr-Coulomb,1.0409102633045144,0.3469700877681715,4.040910263304514,0.0,299293.0138178086,896997.2182613438,0.0,1.694851519152554,plastic_estimate
37.0,37.00022041688165,4204.726452073854,5154.0475885696105,216.46270967741933,230.6999053955078,14.237195718088486,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,354474.5668059092,425369.48016709107,Mohr-Coulomb,1.0693603111705212,0.3564534370568404,4.069360311170521,0.0,312363.4601234017,921633.873695364,0.0,1.7688674993268236,plastic_estimate
38.0,38.00022637367921,4203.752119219525,5153.822476399847,216.4661612903226,231.0839385986328,14.617777308310224,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,363950.20351130015,436740.2442135602,Mohr-Coulomb,1.0970597891172476,0.36568659637241585,4.097059789117248,0.0,325433.906428993,946270.5291293804,0.0,1.842883479501083,plastic_estimate
39.0,39.00023233047766,4202.777786365196,5153.597364230083,216.46961290322585,231.4679718017578,14.99835889853196,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,373425.8402166911,448111.0082600293,Mohr-Coulomb,1.1240472844253284,0.37468242814177616,4.124047284425329,0.0,338504.35273458424,970907.1845633968,0.0,1.9168994596753424,plastic_estimate
40.0,40.00023828727542,4201.803453510868,5153.372252060319,216.47306451612903,231.8520050048828,15.378940488753784,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,382901.4769220842,459481.77230650105,Mohr-Coulomb,1.1503584831026146,0.3834528277008715,4.150358483102615,0.0,351574.79904017854,995543.839997419,0.0,1.9909154398496187,plastic_estimate
41.0,41.00024424407387,4200.829120656539,5153.147139890555,216.47651612903223,232.2360382080078,15.75952207897558,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,392377.1136274767,470852.536352972,Mohr-Coulomb,1.1760264536388116,0.39200881787960384,4.176026453638812,0.0,364645.2453457718,1020180.4954314394,0.0,2.0649314200238895,plastic_estimate
